Gender,Invoice_id,Branch,City,Customer_type,Product_line,Unit_price,Quantity,Tax_five_percent
Female,541-89-9860,C,Naypyitaw,Member,Fashion accessories,80,3,12.072
Female,173-82-9529,B,Mandalay,Normal,Fashion accessories,37,10,18.975
Female,308-47-4913,A,Yangon,Member,Sports and travel,52,10,26.13
Female,885-17-6250,A,Yangon,Normal,Health and beauty,79,1,3.987
Female,726-27-2396,A,Yangon,Normal,Health and beauty,77,5,19.375
Female,316-01-3952,A,Yangon,Normal,Food and beverages,54,5,135.675
Female,793-10-3222,B,Mandalay,Member,Health and beauty,41,6,12.318
Female,110-05-6330,C,Naypyitaw,Normal,Food and beverages,39,6,11.829
Female,831-64-0259,B,Mandalay,Normal,Fashion accessories,39,5,9.9375
Female,587-03-7455,C,Naypyitaw,Member,Fashion accessories,97,7,342.265
Female,725-32-9708,B,Mandalay,Member,Fashion accessories,68,4,13.742
Female,256-08-8343,A,Yangon,Normal,Home and lifestyle,56,4,11.306
Female,372-26-1506,C,Naypyitaw,Normal,Fashion accessories,23,5,5.955
Female,244-08-0162,B,Mandalay,Normal,Health and beauty,34,10,17.105
Female,750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,45,4,9.076
Female,186-09-3669,C,Naypyitaw,Member,Health and beauty,81,1,4.0755
Female,848-07-1692,B,Mandalay,Normal,Health and beauty,57,2,5.722
Female,745-71-3520,A,Yangon,Member,Electronic accessories,25,7,8.827
Female,266-76-6436,C,Naypyitaw,Member,Food and beverages,38,3,5.79
Female,740-22-2500,C,Naypyitaw,Normal,Electronic accessories,84,3,12.6075
Female,271-88-8734,C,Naypyitaw,Member,Fashion accessories,97,10,48.605
Female,650-98-6268,B,Mandalay,Member,Food and beverages,20,3,3.1305
Female,325-77-6186,A,Yangon,Member,Home and lifestyle,90,10,45.325
Female,459-50-7686,A,Yangon,Normal,Electronic accessories,23,6,7.038
Female,837-55-7229,B,Mandalay,Normal,Fashion accessories,47,1,2.372
Female,810-60-6344,C,Naypyitaw,Normal,Electronic accessories,40,8,16.344
Female,394-30-3170,B,Mandalay,Member,Sports and travel,88,8,35.372
Female,138-17-5109,A,Yangon,Member,Home and lifestyle,89,9,401.445
Female,301-11-9629,A,Yangon,Normal,Sports and travel,19,7,6.685
Female,390-80-5128,B,Mandalay,Member,Health and beauty,19,1,9.575
Female,296-11-7041,B,Mandalay,Member,Health and beauty,27,1,1.3535
Female,449-27-2918,B,Mandalay,Member,Sports and travel,39,1,1.956
Female,891-01-7034,B,Mandalay,Normal,Electronic accessories,74,6,22.413
Female,727-17-0390,A,Yangon,Normal,Food and beverages,63,5,159.025
Female,767-54-1907,B,Mandalay,Member,Fashion accessories,29,5,7.39
Female,710-46-4433,B,Mandalay,Member,Food and beverages,77,9,34.83
Female,325-90-8763,C,Naypyitaw,Member,Electronic accessories,46,10,23.285
Female,234-03-4040,B,Mandalay,Member,Food and beverages,73,10,36.525
Female,326-71-2155,C,Naypyitaw,Normal,Sports and travel,73,4,14.79
Female,320-32-8842,C,Naypyitaw,Member,Food and beverages,22,1,1.131
Female,878-30-2331,C,Naypyitaw,Member,Sports and travel,54,10,27.275
Female,440-59-5691,C,Naypyitaw,Member,Health and beauty,37,7,130.025
Female,233-34-0817,C,Naypyitaw,Member,Electronic accessories,98,1,4.942
Female,767-05-1286,C,Naypyitaw,Member,Home and lifestyle,83,6,25.131
Female,340-21-9136,A,Yangon,Member,Sports and travel,40,4,8.01
Female,676-39-6028,A,Yangon,Member,Electronic accessories,64,5,16.11
Female,485-30-8700,A,Yangon,Normal,Sports and travel,33,5,8.315
Female,246-11-3901,C,Naypyitaw,Normal,Electronic accessories,32,10,16.4
Female,493-65-6248,C,Naypyitaw,Member,Sports and travel,36,10,18.49
Female,438-01-4015,B,Mandalay,Member,Sports and travel,49,4,9.898
Female,709-58-4068,B,Mandalay,Normal,Fashion accessories,41,10,20.545
Female,627-95-3243,B,Mandalay,Member,Home and lifestyle,77,9,34.956
Female,686-41-0932,B,Mandalay,Normal,Fashion accessories,34,2,3.47
Female,510-09-5628,A,Yangon,Member,Fashion accessories,19,10,9.83
Female,608-04-3797,B,Mandalay,Member,Health and beauty,25,8,10.128
Female,148-82-2527,C,Naypyitaw,Member,Home and lifestyle,12,10,6.06
Female,556-97-7101,C,Naypyitaw,Normal,Electronic accessories,63,2,6.322
Female,862-59-8517,C,Naypyitaw,Normal,Food and beverages,90,6,27.072
Female,401-18-8016,B,Mandalay,Member,Sports and travel,98,1,4.9065
Female,420-18-8989,A,Yangon,Member,Sports and travel,51,8,20.608
Female,573-98-8548,C,Naypyitaw,Member,Fashion accessories,31,1,1.595
Female,282-35-2475,B,Mandalay,Normal,Sports and travel,93,2,9.331
Female,387-49-4215,B,Mandalay,Member,Sports and travel,48,3,7.275
Female,862-17-9201,B,Mandalay,Normal,Food and beverages,84,6,25.215
Female,602-80-9671,C,Naypyitaw,Member,Home and lifestyle,15,6,4.785
Female,347-72-6115,B,Mandalay,Member,Sports and travel,90,7,31.759
Female,209-61-0206,A,Yangon,Normal,Home and lifestyle,42,5,10.7275
Female,595-27-4851,A,Yangon,Normal,Fashion accessories,54,7,18.998
Female,413-20-6708,C,Naypyitaw,Member,Fashion accessories,51,1,2.5735
Female,734-91-1155,B,Mandalay,Normal,Electronic accessories,45,3,6.8565
Female,451-28-5717,C,Naypyitaw,Member,Home and lifestyle,83,6,24.951
Female,609-81-8548,A,Yangon,Member,Home and lifestyle,37,6,11.232
Female,719-89-8991,A,Yangon,Member,Sports and travel,91,5,228.525
Female,827-44-5872,B,Mandalay,Member,Food and beverages,54,10,27.18
Female,236-27-1144,C,Naypyitaw,Normal,Food and beverages,16,9,7.3395
Female,892-05-6689,A,Yangon,Normal,Home and lifestyle,28,5,7.08
Female,339-12-4827,B,Mandalay,Member,Fashion accessories,73,1,3.698
Female,308-81-0538,A,Yangon,Normal,Fashion accessories,73,4,14.61
Female,358-88-9262,C,Naypyitaw,Member,Food and beverages,87,6,26.244
Female,173-50-1108,B,Mandalay,Member,Sports and travel,20,4,4.036
Female,841-18-8232,B,Mandalay,Normal,Food and beverages,71,1,3.56
Female,647-50-1224,A,Yangon,Normal,Fashion accessories,29,10,14.71
Female,539-21-7227,B,Mandalay,Normal,Sports and travel,51,5,12.885
Female,213-32-1216,A,Yangon,Normal,Electronic accessories,66,6,19.818
Female,582-52-8065,B,Mandalay,Normal,Fashion accessories,54,9,244.395
Female,210-57-1719,B,Mandalay,Normal,Health and beauty,58,9,26.208
Female,198-66-9832,B,Mandalay,Member,Fashion accessories,72,2,7.204
Female,283-26-5248,C,Naypyitaw,Member,Food and beverages,98,10,49.26
Female,218-59-9410,A,Yangon,Member,Home and lifestyle,72,3,10.863
Female,134-54-4720,B,Mandalay,Normal,Electronic accessories,42,8,16.968
Female,698-98-5964,A,Yangon,Normal,Food and beverages,81,10,40.605
Female,718-57-9773,C,Naypyitaw,Normal,Sports and travel,49,10,24.665
Female,651-88-7328,A,Yangon,Normal,Fashion accessories,65,9,29.583
Female,241-11-2261,B,Mandalay,Normal,Fashion accessories,79,7,27.951
Female,408-26-9866,C,Naypyitaw,Normal,Sports and travel,73,7,25.893
Female,834-83-1826,B,Mandalay,Member,Home and lifestyle,82,5,20.51
Female,797-88-0493,A,Yangon,Normal,Health and beauty,64,4,12.854
Female,443-82-0585,A,Yangon,Member,Health and beauty,77,4,15.536
Female,339-18-7061,C,Naypyitaw,Member,Fashion accessories,92,2,9.298
Female,359-90-3665,B,Mandalay,Member,Fashion accessories,18,4,3.616
Female,278-86-2735,A,Yangon,Normal,Food and beverages,52,3,7.851
Female,695-28-6250,A,Yangon,Normal,Sports and travel,43,5,10.765
Female,788-07-8452,C,Naypyitaw,Member,Home and lifestyle,24,7,8.484
Female,560-49-6611,A,Yangon,Member,Sports and travel,45,1,2.279
Female,880-35-0356,A,Yangon,Member,Sports and travel,75,3,11.28
Female,123-35-4896,C,Naypyitaw,Normal,Sports and travel,46,9,20.997
Female,258-69-7810,C,Naypyitaw,Normal,Fashion accessories,36,5,9.2125
Female,334-64-2006,A,Yangon,Member,Home and lifestyle,70,2,7.032
Female,881-41-7302,C,Naypyitaw,Normal,Fashion accessories,64,1,3.2495
Female,642-30-6693,B,Mandalay,Normal,Sports and travel,54,6,16.353
Female,484-22-8230,C,Naypyitaw,Member,Fashion accessories,51,7,181.615
Female,559-98-9873,A,Yangon,Member,Fashion accessories,53,7,187.775
Female,544-32-5024,C,Naypyitaw,Member,Food and beverages,49,4,9.958
Female,421-95-9805,A,Yangon,Normal,Electronic accessories,28,1,1.448
Female,277-35-5865,C,Naypyitaw,Member,Food and beverages,98,9,445.365
Female,509-29-3912,A,Yangon,Member,Sports and travel,38,9,17.424
Female,641-96-3695,C,Naypyitaw,Member,Fashion accessories,43,6,13.038
Female,420-97-3340,A,Yangon,Normal,Food and beverages,71,3,10.752
Female,436-54-4512,A,Yangon,Member,Food and beverages,91,1,4.5805
Female,670-79-6321,B,Mandalay,Member,Home and lifestyle,94,7,331.065
Female,852-62-7105,B,Mandalay,Normal,Fashion accessories,83,10,41.625
Female,135-13-8269,B,Mandalay,Member,Food and beverages,78,2,7.888
Female,308-39-1707,A,Yangon,Normal,Fashion accessories,12,1,6.045
Female,318-81-2368,C,Naypyitaw,Normal,Electronic accessories,46,1,2.31
Female,364-33-8584,B,Mandalay,Member,Food and beverages,17,5,4.4075
Female,695-09-5146,B,Mandalay,Member,Food and beverages,98,3,148.185
Female,155-45-3814,C,Naypyitaw,Member,Electronic accessories,88,8,35.42
Female,131-15-8856,C,Naypyitaw,Member,Food and beverages,72,8,29.008
Female,859-71-0933,C,Naypyitaw,Member,Sports and travel,15,2,1.549
Female,563-47-4072,B,Mandalay,Normal,Health and beauty,55,6,16.743
Female,169-52-4504,A,Yangon,Normal,Electronic accessories,15,3,2.3535
Female,250-81-7186,C,Naypyitaw,Normal,Electronic accessories,99,1,4.9845
Female,562-12-5430,A,Yangon,Member,Fashion accessories,88,3,132.225
Female,816-72-8853,A,Yangon,Member,Sports and travel,27,5,6.9825
Female,322-02-2271,B,Mandalay,Normal,Sports and travel,42,3,6.4455
Female,725-67-2480,B,Mandalay,Member,Fashion accessories,58,6,17.625
Female,641-51-2661,C,Naypyitaw,Member,Food and beverages,87,10,43.55
Female,714-02-3114,C,Naypyitaw,Normal,Sports and travel,98,2,9.88
Female,518-17-2983,A,Yangon,Normal,Fashion accessories,48,4,9.726
Female,190-14-3147,B,Mandalay,Normal,Health and beauty,17,4,3.594
Female,408-66-6712,C,Naypyitaw,Member,Health and beauty,47,6,14.313
Female,679-22-6530,B,Mandalay,Normal,Sports and travel,40,2,4.062
Female,576-31-4774,B,Mandalay,Normal,Health and beauty,73,3,11.0115
Female,811-03-8790,A,Yangon,Normal,Electronic accessories,45,10,22.74
Female,752-23-3760,B,Mandalay,Member,Sports and travel,64,7,22.428
Female,274-05-5470,A,Yangon,Member,Food and beverages,73,4,14.694
Female,528-87-5606,B,Mandalay,Member,Electronic accessories,39,1,1.974
Female,320-85-2052,B,Mandalay,Normal,Sports and travel,34,1,1.7405
Female,370-96-0655,C,Naypyitaw,Normal,Fashion accessories,49,6,14.796
Female,510-79-0415,B,Mandalay,Member,Sports and travel,23,6,6.924
Female,241-96-5076,B,Mandalay,Member,Home and lifestyle,49,2,4.91
Female,767-97-4650,B,Mandalay,Member,Sports and travel,64,2,6.483
Female,305-03-2383,A,Yangon,Normal,Food and beverages,67,3,10.065
Female,394-55-6384,C,Naypyitaw,Member,Sports and travel,70,9,315.855
Female,196-01-2849,C,Naypyitaw,Member,Fashion accessories,73,7,25.683
Female,372-62-5264,C,Naypyitaw,Normal,Food and beverages,52,9,23.67
Female,800-09-8606,A,Yangon,Member,Home and lifestyle,87,5,218.425
Female,182-52-7000,A,Yangon,Member,Sports and travel,27,4,5.408
Female,626-43-7888,C,Naypyitaw,Normal,Fashion accessories,60,8,24.164
Female,191-29-0321,B,Mandalay,Member,Fashion accessories,19,10,9.885
Female,640-48-5028,B,Mandalay,Member,Home and lifestyle,88,9,397.755
Female,834-45-5519,B,Mandalay,Normal,Electronic accessories,43,4,8.6
Female,728-88-7867,C,Naypyitaw,Member,Home and lifestyle,75,4,15.106
Female,183-21-3799,C,Naypyitaw,Normal,Electronic accessories,77,9,349.335
Female,268-20-3585,C,Naypyitaw,Normal,Health and beauty,13,9,6.2325
Female,258-92-7466,A,Yangon,Normal,Health and beauty,35,5,8.92
Female,857-16-3520,A,Yangon,Member,Fashion accessories,71,7,25.011
Female,821-14-9046,B,Mandalay,Member,Fashion accessories,17,6,5.244
Female,418-05-0656,B,Mandalay,Normal,Fashion accessories,25,7,8.946
Female,678-79-0726,C,Naypyitaw,Member,Sports and travel,90,9,407.835
Female,592-46-1692,C,Naypyitaw,Member,Food and beverages,36,7,12.8695
Female,149-14-0304,C,Naypyitaw,Member,Health and beauty,28,8,11.4
Female,299-29-0180,B,Mandalay,Member,Home and lifestyle,52,7,18.263
Female,247-11-2470,A,Yangon,Member,Fashion accessories,22,4,4.464
Female,386-27-7606,C,Naypyitaw,Member,Home and lifestyle,81,7,28.42
Female,373-14-0504,A,Yangon,Member,Sports and travel,71,2,7.163
Female,345-68-9016,C,Naypyitaw,Member,Sports and travel,31,8,12.668
Female,390-17-5806,C,Naypyitaw,Member,Food and beverages,38,1,1.921
Female,664-14-2882,C,Naypyitaw,Member,Home and lifestyle,10,5,2.6325
Female,487-79-6868,B,Mandalay,Member,Home and lifestyle,12,9,5.5305
Female,210-30-7976,B,Mandalay,Member,Fashion accessories,22,4,4.464
Female,585-86-8361,A,Yangon,Normal,Food and beverages,27,5,6.82
